Analyzing brace balance line by line:
============================================================
OK Line    8: +1 -0 =   1 | document.addEventListener('DOMContentLoaded', function() {
OK Line   13: +1 -0 =   2 | document.getElementById('formCrearReceta').addEventListener('submit', 
OK Line   16: +0 -1 =   1 | });
OK Line   19: +1 -0 =   2 | document.getElementById('formEditarReceta').addEventListener('submit',
OK Line   22: +0 -1 =   1 | });
OK Line   25: +1 -0 =   2 | document.getElementById('porciones').addEventListener('change', functi
OK Line   27: +0 -1 =   1 | });
OK Line   28: +0 -1 =   0 | });
OK Line   31: +1 -0 =   1 | function abrirModalCrearReceta() {
OK Line   32: +1 -0 =   2 | try {
OK Line   37: +1 -0 =   3 | if (!form) {
OK Line   40: +0 -1 =   2 | }
OK Line   61: +1 -0 =   3 | if (!modalElement) {
OK Line   64: +0 -1 =   2 | }
OK Line   68: +1 -1 =   2 | } catch (error) {
OK Line   71: +0 -1 =   1 | }
OK Line   72: +0 -1 =   0 | }
OK Line   75: +1 -0 =   1 | function abrirModalCategorias() {
OK Line   85: +1 -0 =   2 | formCrearCategoria.addEventListener('submit', function(e) {
OK Line   88: +0 -1 =   1 | });
OK Line   89: +0 -1 =   0 | }
OK Line   92: +1 -0 =   1 | function verDetalleReceta(recetaId) {
OK Line  109: +2 -1 =   2 | fetch(`/dashboard/recetas/detalle/${recetaId}/`, {
OK Line  110: +1 -1 =   2 | headers: { 'X-Requested-With': 'XMLHttpRequest' }
OK Line  111: +0 -1 =   1 | })
OK Line  113: +1 -0 =   2 | .then(data => {
OK Line  114: +1 -0 =   3 | if (data.success) {
OK Line  116: +1 -1 =   3 | } else {
OK Line  119: +1 -1 =   3 | <i class="fas fa-exclamation-circle me-1"></i> ${data.message}
OK Line  122: +0 -1 =   2 | }
OK Line  123: +0 -1 =   1 | })
OK Line  124: +1 -0 =   2 | .catch(error => {
OK Line  131: +0 -1 =   1 | });
OK Line  132: +0 -1 =   0 | }
OK Line  135: +1 -0 =   1 | function editarReceta(recetaId) {
OK Line  152: +2 -1 =   2 | fetch(`/dashboard/recetas/detalle/${recetaId}/`, {
OK Line  153: +1 -1 =   2 | headers: { 'X-Requested-With': 'XMLHttpRequest' }
OK Line  154: +0 -1 =   1 | })
OK Line  156: +1 -0 =   2 | .then(data => {
OK Line  157: +1 -0 =   3 | if (data.success) {
OK Line  159: +1 -1 =   3 | } else {
OK Line  162: +1 -1 =   3 | <i class="fas fa-exclamation-circle me-1"></i> ${data.message}
OK Line  165: +0 -1 =   2 | }
OK Line  166: +0 -1 =   1 | })
OK Line  167: +1 -0 =   2 | .catch(error => {
OK Line  174: +0 -1 =   1 | });
OK Line  175: +0 -1 =   0 | }
OK Line  178: +1 -0 =   1 | function duplicarReceta(recetaId) {
OK Line  179: +1 -0 =   2 | if (confirm('¿Estás seguro de duplicar esta receta?')) {
OK Line  180: +2 -1 =   3 | fetch(`/dashboard/recetas/duplicar/${recetaId}/`, {
OK Line  182: +1 -0 =   4 | headers: {
OK Line  185: +0 -1 =   3 | }
OK Line  186: +0 -1 =   2 | })
OK Line  188: +1 -0 =   3 | .then(data => {
OK Line  189: +1 -0 =   4 | if (data.success) {
OK Line  192: +1 -0 =   5 | setTimeout(() => {
OK Line  196: +0 -1 =   4 | }, 500);
OK Line  197: +1 -1 =   4 | } else {
OK Line  199: +0 -1 =   3 | }
OK Line  200: +0 -1 =   2 | })
OK Line  201: +1 -0 =   3 | .catch(error => {
OK Line  204: +0 -1 =   2 | });
OK Line  205: +0 -1 =   1 | }
OK Line  206: +0 -1 =   0 | }
OK Line  209: +1 -0 =   1 | function showToast(message, type) {
OK Line  211: +1 -1 =   1 | toast.className = `toast show align-items-center text-white bg-${type 
OK Line  219: +1 -1 =   1 | ${message}
OK Line  228: +1 -0 =   2 | setTimeout(() => {
OK Line  231: +0 -1 =   1 | }, 5000);
OK Line  232: +0 -1 =   0 | }
OK Line  235: +1 -0 =   1 | function createToastContainer() {
OK Line  242: +0 -1 =   0 | }
OK Line  245: +1 -0 =   1 | function renderizarDetalleReceta(receta, ingredientes) {
OK Line  251: +1 -1 =   1 | <h5 class="border-bottom pb-2 mb-3">${receta.nombre}</h5>
OK Line  257: +1 -1 =   1 | <span class="fw-medium">${receta.categoria || 'Sin categoría'}</span>
OK Line  261: +1 -1 =   1 | <span class="fw-medium">${receta.tiempo_preparacion} min</span>
OK Line  265: +1 -1 =   1 | <span class="fw-medium">${receta.porciones}</span>
OK Line  271: +1 -1 =   1 | <span class="fw-medium">$${receta.costo_total.toFixed(2)}</span>
OK Line  275: +1 -1 =   1 | <span class="fw-medium">$${(receta.costo_total / receta.porciones).toF
OK Line  279: +1 -1 =   1 | <span class="fw-medium">${receta.precio_venta ? '$' + receta.precio_ve
OK Line  284: +1 -0 =   2 | ${receta.descripcion ? `
OK Line  287: +1 -1 =   2 | <p>${receta.descripcion}</p>
OK Line  289: +0 -1 =   1 | ` : ''}
OK Line  296: +1 -1 =   1 | <h6 class="border-bottom pb-2 mb-3">Ingredientes (${ingredientes.lengt
OK Line  311: +1 -0 =   2 | if (ingredientes.length > 0) {
OK Line  312: +1 -0 =   3 | ingredientes.forEach(ingrediente => {
OK Line  315: +2 -2 =   3 | <td>${ingrediente.nombre} (${ingrediente.codigo})</td>
OK Line  317: +1 -0 =   4 | <span class="badge ${
OK Line  321: +0 -1 =   3 | }">
OK Line  322: +1 -0 =   4 | ${
OK Line  326: +0 -1 =   3 | }
OK Line  329: +2 -2 =   3 | <td>${ingrediente.cantidad} ${ingrediente.unidad}</td>
OK Line  330: +1 -1 =   3 | <td class="text-end">$${ingrediente.costo.toFixed(2)}</td>
OK Line  333: +0 -1 =   2 | });
OK Line  334: +1 -1 =   2 | } else {
OK Line  342: +0 -1 =   1 | }
OK Line  349: +1 -1 =   1 | <th class="text-end">$${receta.costo_total.toFixed(2)}</th>
OK Line  358: +0 -1 =   0 | }
OK Line  361: +1 -0 =   1 | function agregarIngredienteEditar(ingredienteExistente = null) {
OK Line  362: +1 -0 =   2 | if (todosLosInsumos.length === 0) {
OK Line  365: +0 -1 =   1 | }
OK Line  372: +1 -0 =   2 | if (alerta) {
OK Line  374: +0 -1 =   1 | }
OK Line  376: +1 -1 =   1 | const id = `editar_ingrediente_${contadorIngredientesEditar}`;
OK Line  382: +1 -0 =   2 | const insumosPorTipo = {
OK Line  386: +0 -1 =   1 | };
OK Line  389: +1 -0 =   2 | if (insumosPorTipo.basico.length > 0) {
OK Line  391: +1 -0 =   3 | insumosPorTipo.basico.forEach(insumo => {
OK Line  393: +8 -8 =   3 | opcionesInsumos += `<option value="${insumo.id}" data-tipo="${insumo.t
OK Line  394: +0 -1 =   2 | });
OK Line  396: +0 -1 =   1 | }
OK Line  398: +1 -0 =   2 | if (insumosPorTipo.compuesto.length > 0) {
OK Line  400: +1 -0 =   3 | insumosPorTipo.compuesto.forEach(insumo => {
OK Line  402: +8 -8 =   3 | opcionesInsumos += `<option value="${insumo.id}" data-tipo="${insumo.t
OK Line  403: +0 -1 =   2 | });
OK Line  405: +0 -1 =   1 | }
OK Line  407: +1 -0 =   2 | if (insumosPorTipo.elaborado.length > 0) {
OK Line  409: +1 -0 =   3 | insumosPorTipo.elaborado.forEach(insumo => {
OK Line  411: +8 -8 =   3 | opcionesInsumos += `<option value="${insumo.id}" data-tipo="${insumo.t
OK Line  412: +0 -1 =   2 | });
OK Line  414: +0 -1 =   1 | }
OK Line  418: +1 -1 =   1 | <div id="${id}" class="row mb-2 align-items-end border-bottom pb-2">
OK Line  421: +1 -1 =   1 | <select class="form-select form-select-sm" name="editar_ingrediente_in
OK Line  422: +1 -1 =   1 | ${opcionesInsumos}
OK Line  428: +2 -2 =   1 | <input type="number" class="form-control" name="editar_ingrediente_can
OK Line  429: +1 -1 =   1 | <span class="input-group-text unidad-medida">${ingredienteExistente ? 
OK Line  436: +1 -1 =   1 | <input type="text" class="form-control costo-ingrediente" name="editar
OK Line  440: +1 -1 =   1 | <button type="button" class="btn btn-sm btn-outline-danger" onclick="e
OK Line  449: +0 -1 =   0 | }
OK Line  452: +1 -0 =   1 | function cargarDatosEdicion(receta, ingredientes) {
OK Line  453: +1 -0 =   2 | try {
OK Line  471: +1 -0 =   3 | if (ingredientes && ingredientes.length > 0) {
OK Line  472: +1 -1 =   3 | console.log(`Cargando ${ingredientes.length} ingredientes existentes`)
OK Line  473: +1 -0 =   4 | ingredientes.forEach(ingrediente => {
